Zeit	Kanal A	Kanal B
(s)	(V)	(V)

1.40070052	3.46751300	1.99011200
1.40203452	3.46751300	1.90160800
1.40336852	3.64574100	1.99011200
1.40470252	3.64574100	1.99011200
1.40603652	3.64574100	1.99011200
1.40737052	3.64574100	1.99011200
1.40870452	3.64574100	1.90160800
1.41003852	3.64574100	1.99011200
1.41137252	3.64574100	1.99011200
1.41270652	3.46751300	1.99011200
1.41404052	3.64574100	1.90160800
1.41537452	3.64574100	1.99011200
1.41670852	3.64574100	1.90160800
1.41804252	3.64574100	1.90160800
1.41937652	3.46751300	1.99011200
1.42071052	3.46751300	1.90160800
1.42204452	3.46751300	1.99011200
1.42337852	3.64574100	1.90160800
1.42471252	3.64574100	1.90160800
1.42604652	3.64574100	1.99011200
1.42738052	3.64574100	1.99011200
1.42871452	3.64574100	1.99011200
1.43004852	3.64574100	1.90160800
1.43138252	3.64574100	1.99011200
1.43271652	3.64574100	1.90160800
1.43405052	3.64574100	1.90160800
1.43538452	3.64574100	1.99011200
1.43671852	3.64574100	1.90160800
1.43805252	3.64574100	1.99011200
1.43938652	3.64574100	1.99011200
1.44072052	3.64574100	1.99011200
1.44205452	3.64574100	1.99011200
1.44338852	3.64574100	1.99011200
1.44472252	3.64574100	1.99011200
1.44605652	3.64574100	1.99011200
1.44739052	3.82458000	1.99011200
1.44872452	3.64574100	1.90160800
1.45005852	3.82458000	1.99011200
1.45139252	3.82458000	1.99011200
1.45272652	3.82458000	1.99011200
1.45406052	3.82458000	1.99011200
1.45539452	3.64574100	1.99011200
1.45672852	3.64574100	1.99011200
1.45806252	3.64574100	1.99011200
1.45939652	3.64574100	1.99011200
1.46073052	3.64574100	1.99011200
1.46206452	3.82458000	1.99011200
1.46339852	3.64574100	1.99011200
1.46473252	3.82458000	1.90160800
1.46606652	3.82458000	1.99011200
1.46740052	3.82458000	1.99011200
1.46873452	3.82458000	1.99011200
1.47006852	3.64574100	1.90160800
1.47140252	3.82458000	1.99011200
1.47273652	3.82458000	1.99011200
1.47407052	3.82458000	1.99011200
1.47540452	3.82458000	1.99011200
1.47673852	4.00341800	1.99011200
1.47807252	3.82458000	1.99011200
1.47940652	3.82458000	1.99011200
1.48074052	3.82458000	1.99011200
1.48207452	3.82458000	1.99011200
1.48340852	3.82458000	1.99011200
1.48474252	3.82458000	1.99011200
1.48607652	4.00341800	1.99011200
1.48741052	4.00341800	1.99011200
1.48874452	4.00341800	1.99011200
1.49007852	3.82458000	1.99011200
1.49141252	4.00341800	1.99011200
1.49274652	3.82458000	1.99011200
1.49408052	3.82458000	1.99011200
